Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,2,2001-11-02,33-352,CHI,@,BOS,L (-14),1,28:07,3,7,.429,0,2,.000,0,0,,0,2,2,3,4,0,3,3,6,4.8,-7
3,3,2001-11-03,33-353,CHI,,NYK,W (+5),1,28:12,6,10,.600,2,4,.500,3,3,1.000,0,4,4,6,1,0,1,3,17,16.6,+1
4,4,2001-11-07,33-357,CHI,,DET,L (-24),1,27:07,3,6,.500,1,2,.500,2,2,1.000,1,0,1,9,3,0,1,1,9,14.6,-7
5,5,2001-11-08,33-358,CHI,@,MIN,L (-53),1,21:34,1,7,.143,0,2,.000,0,0,,0,1,1,3,0,0,1,2,2,-1.9,-43
6,6,2001-11-10,33-360,CHI,,CHH,L (-4),1,28:12,1,6,.167,0,1,.000,3,6,.500,0,6,6,6,1,1,2,2,5,4.9,-3
7,7,2001-11-13,33-363,CHI,@,DEN,L (-8),1,33:33,5,10,.500,1,2,.500,4,5,.800,0,0,0,7,1,0,0,4,15,13.9,-2
8,8,2001-11-14,33-364,CHI,@,LAC,L (-4),1,28:54,3,6,.500,1,2,.500,2,2,1.000,0,2,2,8,0,0,1,1,9,10.8,-7
9,9,2001-11-16,34-001,CHI,@,SAC,L (-34),1,25:57,4,8,.500,0,2,.000,1,2,.500,0,2,2,4,1,0,4,2,9,4.2,-18
10,10,2001-11-17,34-002,CHI,@,GSW,L (-5),1,38:53,4,12,.333,0,2,.000,1,1,1.000,0,1,1,5,0,0,1,1,9,4.6,-4
11,11,2001-11-21,34-006,CHI,@,MIL,L (-4),1,23:12,2,7,.286,0,1,.000,0,0,,0,2,2,6,1,0,1,6,4,2.3,+8
12,12,2001-11-24,34-009,CHI,@,NYK,L (-7),1,24:00,1,5,.200,0,1,.000,2,3,.667,1,3,4,3,0,0,1,0,4,3.2,-11
13,13,2001-11-27,34-012,CHI,@,NJN,L (-32),1,28:21,4,9,.444,0,1,.000,0,0,,2,1,3,5,1,0,1,1,8,8.1,-28
14,14,2001-11-29,34-014,CHI,,MIA,W (+6),1,29:38,5,10,.500,0,2,.000,1,5,.200,0,4,4,5,6,0,0,4,11,13.5,+7
15,15,2001-12-01,34-016,CHI,,PHI,L (-17),1,22:41,3,6,.500,0,2,.000,0,0,,0,4,4,6,0,0,2,3,6,5.2,-11
16,16,2001-12-04,34-019,CHI,,HOU,W (+28),1,24:00,4,6,.667,2,4,.500,0,0,,0,1,1,4,2,0,2,1,10,10.1,+6
17,17,2001-12-05,34-020,CHI,@,ORL,L (-28),1,26:04,4,8,.500,0,1,.000,2,2,1.000,2,0,2,2,0,0,2,0,10,6.8,-25
18,18,2001-12-07,34-022,CHI,@,IND,L (-15),1,27:18,4,11,.364,1,4,.250,1,2,.500,1,1,2,3,1,0,3,0,10,4.6,-16
19,19,2001-12-08,34-023,CHI,,BOS,W (+3),1,30:00,4,12,.333,3,4,.750,3,4,.750,1,4,5,5,1,1,0,4,14,12.3,+8
20,20,2001-12-11,34-026,CHI,,NJN,L (-14),1,30:48,6,11,.545,3,4,.750,0,2,.000,1,4,5,6,2,1,2,0,15,15.7,-10
21,21,2001-12-14,34-029,CHI,@,BOS,L (-6),1,35:58,5,8,.625,3,5,.600,6,6,1.000,0,7,7,11,1,0,3,2,19,22.4,+1
22,22,2001-12-15,34-030,CHI,,ATL,L (-1),1,26:04,3,13,.231,1,5,.200,0,0,,3,2,5,12,0,1,1,5,7,7.9,+6
23,23,2001-12-18,34-033,CHI,@,CLE,L (-18),1,29:37,2,8,.250,0,2,.000,2,2,1.000,1,2,3,8,0,0,2,2,6,5.3,-21
24,24,2001-12-20,34-035,CHI,@,TOR,L (-5),1,30:11,4,11,.364,0,1,.000,2,4,.500,0,3,3,7,3,0,2,1,10,9.5,+4
25,25,2001-12-22,34-037,CHI,,MIN,L (-21),1,12:00,0,3,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,0,0,-0.4,-10
26,26,2001-12-26,34-041,CHI,@,MEM,L (-22),1,28:43,5,9,.556,2,4,.500,0,0,,0,1,1,5,2,0,2,2,12,10.7,-21
28,27,2001-12-29,34-044,CHI,,CLE,W (+23),1,23:53,3,5,.600,1,2,.500,3,3,1.000,0,1,1,5,2,0,0,1,10,13.1,+22
29,28,2001-12-31,34-046,CHI,,MIL,W (+7),1,26:53,3,5,.600,1,3,.333,3,4,.750,0,3,3,6,2,0,1,3,10,12.2,+14
30,29,2002-01-02,34-048,CHI,,DAL,L (-10),1,24:46,4,8,.500,4,5,.800,0,0,,1,1,2,8,2,0,6,4,12,9.0,-9
31,30,2002-01-04,34-050,CHI,@,WAS,L (-6),1,17:32,0,6,.000,0,4,.000,1,2,.500,0,1,1,0,1,0,0,1,1,-2.7,-17
32,31,2002-01-05,34-051,CHI,,UTA,L (-2),1,16:18,1,3,.333,0,0,,2,4,.500,0,0,0,4,1,0,3,2,4,1.5,+1
35,32,2002-01-11,34-057,CHI,@,IND,L (-7),1,30:41,2,8,.250,0,2,.000,1,2,.500,0,0,0,7,2,0,1,1,5,5.3,-12
36,33,2002-01-12,34-058,CHI,,LAL,W (+2),1,33:42,3,9,.333,0,0,,1,2,.500,1,1,2,9,0,0,0,2,7,8.0,+2
37,34,2002-01-15,34-061,CHI,,CHH,L (-8),1,31:07,4,11,.364,1,5,.200,0,0,,1,4,5,11,0,0,2,3,9,9.3,+2
38,35,2002-01-17,34-063,CHI,@,ATL,W (+3),1,27:08,3,8,.375,1,3,.333,0,0,,0,1,1,5,5,0,3,1,7,8.0,+2
42,36,2002-02-20,34-097,CHI,,NYK,W (+4),0,9:24,1,3,.333,1,2,.500,0,0,,0,1,1,2,2,0,1,1,3,3.6,+1
47,37,2002-03-05,34-110,MIL,@,NYK,L (-13),0,4:40,1,2,.500,0,1,.000,0,0,,1,0,1,1,1,0,0,0,2,3.4,0
48,38,2002-03-06,34-111,MIL,,LAC,W (+6),0,13:42,1,4,.250,0,1,.000,1,2,.500,0,0,0,4,1,0,2,1,3,1.6,+7
49,39,2002-03-08,34-113,MIL,,CLE,L (-6),0,17:50,1,6,.167,0,4,.000,0,0,,0,1,1,3,1,0,2,3,2,-1.6,-6
50,40,2002-03-10,34-115,MIL,,SAC,L (-25),0,21:16,2,7,.286,1,4,.250,0,0,,0,2,2,4,0,1,3,4,5,0.4,-10
51,41,2002-03-12,34-117,MIL,,CHI,W (+29),0,18:48,1,5,.200,0,3,.000,0,0,,0,2,2,3,2,0,2,1,2,1.2,-3
52,42,2002-03-16,34-121,MIL,,DET,L (-8),0,18:02,4,11,.364,0,2,.000,0,0,,0,1,1,5,0,0,3,3,8,1.5,-3
53,43,2002-03-18,34-123,MIL,@,CHH,L (-3),0,14:12,2,4,.500,0,1,.000,2,2,1.000,0,1,1,1,1,0,1,1,6,4.6,+9
54,44,2002-03-19,34-124,MIL,@,ORL,L (-10),0,22:48,2,6,.333,0,2,.000,0,0,,0,0,0,2,0,0,2,1,4,-0.4,-4
55,45,2002-03-22,34-127,MIL,@,NJN,L (-24),0,21:02,3,7,.429,0,3,.000,2,3,.667,0,2,2,3,2,0,3,1,8,5.2,-9
56,46,2002-03-24,34-129,MIL,,ORL,W (+25),0,23:50,5,12,.417,2,2,1.000,0,0,,0,3,3,4,2,0,0,1,12,10.9,+11
57,47,2002-03-26,34-131,MIL,,DAL,L (-6),1,38:01,5,13,.385,2,8,.250,1,2,.500,0,3,3,8,2,0,0,4,13,12.4,-11
58,48,2002-03-28,34-133,MIL,,DEN,W (+7),0,22:47,3,6,.500,2,3,.667,0,2,.000,0,3,3,1,2,0,1,1,8,6.4,+1
59,49,2002-03-29,34-134,MIL,@,WAS,L (-9),0,33:59,8,17,.471,3,7,.429,1,2,.500,3,0,3,5,1,0,3,3,20,13.3,-7
60,50,2002-03-31,34-136,MIL,@,BOS,L (-30),0,23:22,3,8,.375,1,3,.333,0,0,,0,4,4,3,0,0,3,1,7,2.5,-14
61,51,2002-04-02,34-138,MIL,@,ATL,L (-8),1,37:35,5,12,.417,1,4,.250,0,0,,1,1,2,6,1,0,0,2,11,10.0,-1
62,52,2002-04-03,34-139,MIL,,WAS,W (+15),0,29:09,7,13,.538,2,3,.667,0,0,,0,1,1,6,1,0,2,2,16,12.4,+23
63,53,2002-04-05,34-141,MIL,@,MIA,L (-5),0,27:04,4,11,.364,1,5,.200,0,0,,0,1,1,1,1,0,1,3,9,2.7,-10
64,54,2002-04-07,34-143,MIL,@,PHI,L (-2),0,20:43,1,6,.167,0,3,.000,2,2,1.000,0,1,1,1,1,0,0,0,4,2.2,-4
65,55,2002-04-09,34-145,MIL,,PHI,L (-2),0,23:19,1,7,.143,0,2,.000,0,0,,0,3,3,0,0,0,0,2,2,-2.4,-4
66,56,2002-04-10,34-146,MIL,@,CLE,L (-25),1,27:24,4,10,.400,2,5,.400,0,0,,0,2,2,3,2,0,2,1,10,6.9,-20
67,57,2002-04-12,34-148,MIL,@,IND,L (-5),0,18:11,2,4,.500,0,1,.000,1,2,.500,0,0,0,3,2,0,0,2,5,5.9,+5
68,58,2002-04-14,34-150,MIL,,CHH,W (+7),0,31:32,2,5,.400,1,2,.500,1,2,.500,0,1,1,5,4,0,2,1,6,8.3,+1
69,59,2002-04-16,34-152,MIL,,TOR,W (+16),0,19:10,2,7,.286,1,3,.333,2,2,1.000,0,1,1,1,0,0,1,1,7,2.5,+1
70,60,2002-04-17,34-153,MIL,@,DET,L (-34),0,24:32,1,5,.200,0,1,.000,0,0,,1,5,6,6,1,0,3,3,2,2.1,-19
